date,close,high,low,open,close,volume
2002/8/9,1647.046,1658.772,1642.771,1658.443,1659.802,5503100
2002/8/8,1659.802,1675.302,1657.468,1668.513,1668.065,5041900
2002/8/7,1668.065,1670.808,1663.927,1670.173,1670.619,4228900
2002/8/6,1670.619,1679.811,1649.893,1652.942,1653.957,8063100
2002/8/5,1653.957,1661.581,1652.4,1661.404,1661.871,4460800
2002/8/2,1661.871,1662.715,1653.167,1653.638,1653.008,5283500
2002/8/1,1653.008,1659.966,1639.225,1650.054,1651.594,5965300
2002/7/31,1651.594,1671.48,1649.007,1667.623,1669.002,6414000
2002/7/30,1669.002,1672.12,1656.852,1666.579,1665.674,7452200
2002/7/29,1665.674,1665.955,1647.265,1654.925,1657.499,6171200
2002/7/26,1657.499,1670.231,1656.823,1665.089,1665.109,5912700
2002/7/25,1665.109,1682.886,1662.38,1675.473,1672.4,6629800
2002/7/24,1672.4,1679.663,1667.44,1673.682,1673.861,6068000
2002/7/23,1673.861,1684.655,1670.379,1676.904,1681.009,7420500
2002/7/22,1681.009,1712.326,1678.499,1712.018,1713.861,10196000
2002/7/19,1713.861,1714.09,1703.381,1706.359,1704.912,8058900
2002/7/18,1704.912,1711.686,1695.396,1703.808,1701.718,9559200
2002/7/17,1701.718,1702.236,1680.199,1692.447,1691.623,7408900
2002/7/16,1691.623,1704.769,1686.81,1687.666,1687.945,7960800
2002/7/15,1687.945,1697.379,1685.538,1696.808,1698.298,9649800
2002/7/12,1698.298,1706.437,1693.211,1696.644,1696.94,9034300
2002/7/11,1696.94,1712.199,1689.223,1698.213,1701.824,11288600
2002/7/10,1701.824,1729.734,1698.829,1728.517,1729.986,15511800
2002/7/9,1729.986,1741.918,1724.391,1733.834,1732.934,11637700
2002/7/8,1732.934,1737.859,1721.124,1723.579,1722.188,12441400
2002/7/5,1722.188,1722.48,1704.187,1709.842,1713.135,14110100
2002/7/4,1713.135,1735.829,1710.288,1731.899,1730.919,17093600
2002/7/3,1730.919,1736.078,1719.622,1727.09,1724.949,15529100
2002/7/2,1724.949,1725.894,1698.832,1707.447,1713.705,15195000
2002/7/1,1713.705,1740.381,1712.772,1736.293,1732.755,20825400
2002/6/28,1732.755,1747.233,1710.999,1724.727,1723.545,40515800
